id_usuario,profesion,edad,genero,pericia_informatica,dispositivo,tiempo_segundos,tarea_completada,comentarios_usuario,propuestas_mejora,valoracion,comentarios_facilitador
1,ASFDFSDF,10,Hombre,1,ordenador,10,1,ADFFAFD,FASFSDFASFD,3,ASFDASFDASFSDAFASD
2,ENF,55,Mujer,2,telefono,12,1,HOLAQ,ALAO,10,"RENFE CERCANIAS"
id_usuario,numero_pregunta,respuesta
1,1,AS
1,2,SDFSF
1,3,ASFDSSF
1,4,AF
1,5,FSFS
1,6,SDF
1,7,ASFD
1,8,SFD
1,9,ASFD
1,10,ASFD
2,1,ÑºÑ
2,2,Ñ
2,3,Ñ
2,4,Ñ
2,5,Ñ
2,6,Ñ
2,7,Ñ
2,8,ÑÑ
2,9,Ñ
2,10,Ñ
