id_usuario,profesion,edad,genero,pericia_informatica,dispositivo,tiempo_segundos,tarea_completada,comentarios_usuario,propuestas_mejora,valoracion,comentarios_facilitador
id_usuario,numero_pregunta,respuesta
1,1,Profesor,39,Hombre,10,tableta,143,1,"Organizacion de la información del piloto puede mejorarse para encontrar la información mas facilmente. Fecha de la carrera no sale como tal.","Incluir fecha de la carrera y reorganizar información en piloto",9,"Incluir la fecha de la carrera en meteorología.html para que se pueda responder de forma correcta la pregunta."
1,1,Figueres
1,2,Malasia
1,3,"Alex Marquez"
1,4,"Marc Marquez"
1,5,26-10-2025
1,6,"40 minutos 9 segundos"
1,7,2013
1,8,"una curva doble"
1,9,malayo
1,10,1995
